P_id,Venue,Inns,Runs,HS,Ave,SR
253802,home,114,5857,166*,59.16,97.05
253802,away,112,5336,160*,55.58,90.87
253802,neutral,49,2244,183,60.64,91.85
34102,home,85,4546,264,59.03,102.06
34102,away,106,3546,171*,39.40,82.65
34102,neutral,58,2418,140,52.56,87.60
422108,home,28,1185,108,56.42,89.16
422108,away,24,771,112,38.55,86.82
422108,neutral,11,551,111*,61.22,82.48
28235,home,48.0,1890.0,143,41.08,93.75
28235,away,85.0,3141.0,132*,40.26,89.18
28235,neutral,31.0,1762.0,137,58.73,92.83
234675,home,51,955,61*,29.84,81.41
234675,away,52,1163,87,36.34,87.70
234675,neutral,26,565,77,29.73,83.08
625371,home,25,763,83,34.68,109.31
625371,away,24,633,92*,30.14,106.74
625371,neutral,12,373,87,41.44,119.55
26421,home,18,197,31*,14.07,75.76
26421,away,31,356,65,17.80,95.44
26421,neutral,14,154,38,17.11,85.55
27223,home,2,14,12,7.00,70.00
27223,away,6,165,77,55.00,106.45
27223,neutral,3,51,44,17.00,71.83
