P_id,Year,Inns,Runs,HS,Ave,SR
253802,year 2008,5,159,54,31.80,66.52
253802,year 2009,8,325,107,54.16,84.41
253802,year 2010,24,995,118,47.38,85.11
253802,year 2011,34,1381,117,47.62,85.56
253802,year 2012,17,1026,183,68.40,93.78
253802,year 2013,30,1268,115*,52.83,97.53
253802,year 2014,20,1054,139*,58.55,99.62
253802,year 2015,20,623,138,36.64,80.59
253802,year 2016,10,739,154*,92.37,100.00
253802,year 2017,26,1460,131,76.84,99.11
253802,year 2018,14,1202,160*,133.55,102.55
253802,year 2019,25,1377,123,59.86,96.36
253802,year 2020,9,431,89,47.88,92.29
253802,year 2021,3,129,66,43.00,86.57
253802,year 2022,11,302,113,27.45,87.03
253802,year 2023,19,966,166*,64.40,102.54
34102,year 2007,3,61,52,20.33,82.43
34102,year 2008,28,532,70*,25.33,72.57
34102,year 2009,7,102,43*,25.50,65.80
34102,year 2010,14,504,114,38.76,86.00
34102,year 2011,16,611,95,55.54,82.67
34102,year 2012,13,168,68,12.92,66.93
34102,year 2013,27,1196,209,52.00,80.81
34102,year 2014,12,578,264,52.54,94.29
34102,year 2015,17,815,150,50.93,95.43
34102,year 2016,10,564,171*,62.66,95.27
34102,year 2017,21,1293,208*,71.83,99.46
34102,year 2018,19,1030,162,73.57,100.09
34102,year 2019,27,1490,159,57.30,89.92
34102,year 2020,3,171,119,57.00,91.44
34102,year 2021,3,90,37,30.00,86.53
34102,year 2022,8,249,76*,41.50,114.22
34102,year 2023,21,1056,131,55.57,113.30
422108,year 2016,3,196,100*,196.00,83.40
422108,year 2017,6,52,17,8.66,72.22
422108,year 2018,3,69,60,34.50,80.23
422108,year 2019,13,572,111,47.66,81.13
422108,year 2020,9,443,112,55.37,106.23
422108,year 2021,3,177,108,88.50,101.14
422108,year 2022,9,251,73,27.88,80.19
422108,year 2023,17,747,111*,74.70,84.69
28235,year 2010,1.0,0.0,0,0.00,0.0
28235,year 2011,4.0,69.0,51,17.25,57.02
28235,year 2013,25.0,1162.0,119,50.52,97.89
28235,year 2014,18.0,815.0,113,47.94,86.51
28235,year 2015,20.0,745.0,137,37.25,85.43
28235,year 2016,5.0,287.0,126,57.40,100.34
28235,year 2017,22.0,960.0,132*,48.00,101.37
28235,year 2018,19.0,897.0,127,49.83,102.28
28235,year 2019,17.0,583.0,143,36.43,91.81
28235,year 2020,5.0,290.0,96,58.00,91.48
28235,year 2021,6.0,297.0,98,59.40,91.95
28235,year 2022,22.0,688.0,97,34.40,74.21
234675,year 2009,9,201,60*,33.50,75.28
234675,year 2010,13,334,61*,30.36,78.03
234675,year 2011,10,220,78,31.42,86.95
234675,year 2012,8,105,24*,17.50,71.91
234675,year 2013,21,462,61*,35.53,80.91
234675,year 2014,14,369,87,61.50,110.14
234675,year 2015,8,113,32,16.14,83.08
234675,year 2016,4,45,24*,45.00,107.14
234675,year 2017,6,65,16*,16.25,98.48
234675,year 2018,4,68,25,22.66,80.00
234675,year 2019,9,206,77,34.33,96.26
234675,year 2020,7,223,66*,55.75,98.67
234675,year 2022,2,36,29,36.00,61.01
234675,year 2023,14,236,45*,29.50,67.23
625371,year 2016,2,45,36,22.50,100.00
625371,year 2017,19,557,83,34.81,120.56
625371,year 2018,6,68,21,13.60,87.17
625371,year 2019,11,287,48,31.88,118.10
625371,year 2020,3,210,92*,105.00,114.75
625371,year 2021,5,119,64,23.80,133.70
625371,year 2022,2,100,71,50.00,101.01
625371,year 2023,13,383,87,34.81,94.80
26421,year 2010,2,38,38,19.00,111.76
26421,year 2011,11,122,36*,17.42,80.26
26421,year 2012,10,135,31*,27.00,85.44
26421,year 2013,16,167,28,12.84,80.67
26421,year 2014,10,147,65,16.33,120.49
26421,year 2015,8,48,16*,16.00,56.47
26421,year 2016,1,1,1,1.00,50.00
26421,year 2017,3,17,15*,8.50,106.25
26421,year 2022,2,32,25*,32.00,86.48
26421,year 2023,-,-,-,-,-
27223,year 2014,4,40,25*,13.33,63.49
27223,year 2015,7,190,77,38.00,103.82
