row_id,P_id,Year,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR
0,234675,year 2009,13,97.4,4,506,10,50.60,5.18,58.6
1,234675,year 2010,20,158.0,7,739,19,38.89,4.67,49.8
2,234675,year 2011,13,112.0,5,555,24,23.12,4.95,28.0
3,234675,year 2012,9,71.4,0,390,4,97.50,5.44,107.5
4,234675,year 2013,34,303.3,22,1321,52,25.40,4.35,35.0
5,234675,year 2014,17,160.0,6,817,25,32.68,5.10,38.4
6,234675,year 2015,11,91.3,0,495,10,49.50,5.40,54.9
7,234675,year 2016,5,48.0,0,257,3,85.66,5.35,96.0
8,234675,year 2017,10,92.0,1,481,8,60.12,5.22,69.0
9,234675,year 2018,8,74.5,3,344,14,24.57,4.59,32.0
10,234675,year 2019,15,129.0,1,647,12,53.91,5.01,64.5
11,234675,year 2020,9,88.0,1,472,7,67.42,5.36,75.4
12,234675,year 2022,2,9.0,0,38,1,38.00,4.22,54.0
13,234675,year 2023,23,189.5,6,874,31,28.19,4.60,36.7
14,625371,year 2016,4,26.0,0,141,4,35.25,5.42,39.0
15,625371,year 2017,27,197.2,3,1101,31,35.51,5.57,38.1
16,625371,year 2018,10,71.2,0,396,5,79.20,5.55,85.6
17,625371,year 2019,12,100.0,2,557,14,39.78,5.57,42.8
18,625371,year 2020,1,4.0,0,24,1,24.00,6.00,24.0
19,625371,year 2021,4,23.0,0,145,2,72.50,6.30,69.0
20,625371,year 2022,3,17.0,3,74,6,12.33,4.35,17.0
21,625371,year 2023,19,94.3,7,522,21,24.85,5.52,27.0
22,26421,year 2010,7,66.0,3,325,14,23.21,4.92,28.2
23,26421,year 2011,17,155.1,3,731,25,29.24,4.71,37.2
24,26421,year 2012,16,146.0,5,686,17,40.35,4.69,51.5
25,26421,year 2013,29,259.5,6,1353,40,33.82,5.20,38.9
26,26421,year 2014,17,161.5,8,768,23,33.39,4.74,42.2
27,26421,year 2015,13,120.4,9,516,21,24.57,4.27,34.4
28,26421,year 2016,2,19.0,0,128,2,64.00,6.73,57.0
29,26421,year 2017,8,75.0,1,430,8,53.75,5.73,56.2
30,26421,year 2022,2,20.0,1,121,1,121.00,6.05,120.0
31,26421,year 2023,3,27.0,1,122,5,24.40,4.51,32.4
32,625383,year 2016,8,68.3,4,249,17,14.64,3.63,24.1
33,625383,year 2017,23,199.2,13,1024,39,26.25,5.13,30.6
34,625383,year 2018,13,100.5,9,366,22,16.63,3.62,27.5
35,625383,year 2019,14,132.5,9,615,25,24.60,4.62,31.8
36,625383,year 2020,9,85.4,4,482,5,96.40,5.62,102.8
37,625383,year 2022,5,47.2,4,205,13,15.76,4.33,21.8
38,625383,year 2023,16,128.5,14,568,28,20.28,4.40,27.6
39,481896,year 2013,20,167.1,13,902,30,30.06,5.39,33.4
40,481896,year 2014,16,141.3,6,872,38,22.94,6.16,22.3
41,481896,year 2015,10,82.1,7,392,19,20.63,4.77,25.9
42,481896,year 2017,3,30.0,3,143,4,35.75,4.76,45.0
43,481896,year 2018,2,20.0,0,140,3,46.66,7.00,40.0
44,481896,year 2019,21,177.2,10,951,42,22.64,5.36,25.3
45,481896,year 2020,6,55.5,0,393,12,32.75,7.03,27.9
46,481896,year 2022,3,24.0,0,117,4,29.25,4.87,36.0
47,481896,year 2023,19,132.5,12,708,43,16.46,5.32,18.5
48,326016,year 2012,1,9.0,3,27,2,13.50,3.00,27.0
49,326016,year 2013,25,203.0,25,948,28,33.85,4.66,43.5
50,326016,year 2014,16,137.2,10,635,14,45.35,4.62,58.8
51,326016,year 2015,13,103.3,6,577,16,36.06,5.57,38.8
52,326016,year 2016,2,17.0,0,111,0,-,6.52,-
53,326016,year 2017,23,187.5,11,949,28,33.89,5.05,40.2
54,326016,year 2018,14,101.0,6,537,11,48.81,5.31,55.0
55,326016,year 2019,19,149.5,7,784,33,23.75,5.23,27.2
56,326016,year 2021,5,48.0,0,252,9,28.00,5.25,32.0
57,326016,year 2022,2,18.0,0,131,0,-,7.27,-
58,376116,year 2010,3,22.0,1,129,1,129.00,5.86,132.0
59,376116,year 2011,6,50.2,2,299,10,29.90,5.94,30.2
60,376116,year 2012,8,62.0,1,413,7,59.00,6.66,53.1
61,376116,year 2013,11,81.0,5,467,12,38.91,5.76,40.5
62,376116,year 2014,9,71.2,3,381,17,22.41,5.34,25.1
63,376116,year 2015,14,110.2,6,632,25,25.28,5.72,26.4
64,376116,year 2016,10,88.5,2,581,15,38.73,6.54,35.5
65,376116,year 2017,8,67.2,3,388,15,25.86,5.76,26.9
66,376116,year 2018,4,39.5,0,275,4,68.75,6.90,59.7
